run,experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
catboost_cfg_sweep,audio_catboost_cfg3,4,aud,"(10.0,15.0]",0.4285714285714286,0.0,0.39139305319316303,5,63,0.1
catboost_cfg_sweep,audio_catboost_cfg3,4,aud,"(5.0,10.0]",0.6507936507936508,0.2857142857142857,0.39139305319316303,7,63,0.1
catboost_cfg_sweep,audio_catboost_cfg3,4,aud,"[0.0,5.0]",0.6220238095238095,0.3125,0.39139305319316303,16,63,0.1
catboost_cfg_sweep,audio_catboost_cfg3,5,aud,"(10.0,15.0]",0.5,0.0,0.8063271374639229,2,75,0.1
catboost_cfg_sweep,audio_catboost_cfg3,5,aud,"(5.0,10.0]",0.6266666666666667,0.0,0.8063271374639229,4,75,0.1
catboost_cfg_sweep,audio_catboost_cfg3,5,aud,"[0.0,5.0]",0.56,0.0,0.8063271374639229,10,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,1,fus,"(10.0,15.0]",0.4745762711864407,0.14285714285714285,0.7190157775945615,7,59,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,1,fus,"(5.0,10.0]",0.583804143126177,0.0,0.7190157775945615,9,59,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,1,fus,"[0.0,5.0]",0.6175847457627118,0.25,0.7190157775945615,16,59,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,2,fus,"(10.0,15.0]",0.5933333333333333,0.3,0.3221016633925284,10,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,2,fus,"(5.0,10.0]",0.5633333333333334,0.2,0.3221016633925284,5,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,2,fus,"[0.0,5.0]",0.5427083333333332,0.25,0.3221016633925284,16,60,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,3,fus,"(10.0,15.0]",0.8407960199004976,0.0,0.6813846608401787,3,67,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,3,fus,"(5.0,10.0]",0.5863539445628998,0.2857142857142857,0.6813846608401787,7,67,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,3,fus,"[0.0,5.0]",0.5927505330490405,0.2857142857142857,0.6813846608401787,14,67,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,4,fus,"(10.0,15.0]",0.35238095238095246,0.0,0.41048078963668283,5,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,4,fus,"(5.0,10.0]",0.6485260770975056,0.14285714285714285,0.41048078963668283,7,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,4,fus,"[0.0,5.0]",0.695436507936508,0.4375,0.41048078963668283,16,63,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,5,fus,"(10.0,15.0]",0.43999999999999995,0.0,0.8377361017956527,2,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,5,fus,"(5.0,10.0]",0.5666666666666667,0.0,0.8377361017956527,4,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg1,5,fus,"[0.0,5.0]",0.6013333333333333,0.1,0.8377361017956527,10,75,0.1
catboost_cfg_sweep,early_fusion_catboost_cfg2,1,fus,"(10.0,15.0]",0.38983050847457623,0.14285714285714285,0.5961357160701377,7,59,0.1
